,value,value_classification,timestamp,time_until_update
68,66,Greed,2025-06-25 09:00:00,
69,65,Greed,2025-06-24 09:00:00,
70,47,Neutral,2025-06-23 09:00:00,
71,42,Fear,2025-06-22 09:00:00,
72,49,Neutral,2025-06-21 09:00:00,
73,54,Neutral,2025-06-20 09:00:00,
74,57,Greed,2025-06-19 09:00:00,
75,52,Neutral,2025-06-18 09:00:00,
76,68,Greed,2025-06-17 09:00:00,
77,61,Greed,2025-06-16 09:00:00,
78,60,Greed,2025-06-15 09:00:00,
79,63,Greed,2025-06-14 09:00:00,
80,61,Greed,2025-06-13 09:00:00,
81,71,Greed,2025-06-12 09:00:00,
82,72,Greed,2025-06-11 09:00:00,
83,71,Greed,2025-06-10 09:00:00,
84,62,Greed,2025-06-09 09:00:00,
85,62,Greed,2025-06-08 09:00:00,
86,52,Neutral,2025-06-07 09:00:00,
87,45,Fear,2025-06-06 09:00:00,
88,57,Greed,2025-06-05 09:00:00,
89,62,Greed,2025-06-04 09:00:00,
90,64,Greed,2025-06-03 09:00:00,
91,64,Greed,2025-06-02 09:00:00,
92,56,Greed,2025-06-01 09:00:00,
93,50,Neutral,2025-05-31 09:00:00,
94,60,Greed,2025-05-30 09:00:00,
95,74,Greed,2025-05-29 09:00:00,
96,71,Greed,2025-05-28 09:00:00,
97,74,Greed,2025-05-27 09:00:00,
98,73,Greed,2025-05-26 09:00:00,
99,74,Greed,2025-05-25 09:00:00,
100,66,Greed,2025-05-24 09:00:00,
101,78,Extreme Greed,2025-05-23 09:00:00,
102,72,Greed,2025-05-22 09:00:00,
103,70,Greed,2025-05-21 09:00:00,
104,71,Greed,2025-05-20 09:00:00,
105,74,Greed,2025-05-19 09:00:00,
106,74,Greed,2025-05-18 09:00:00,
107,74,Greed,2025-05-17 09:00:00,
108,71,Greed,2025-05-16 09:00:00,
109,70,Greed,2025-05-15 09:00:00,
110,73,Greed,2025-05-14 09:00:00,
111,70,Greed,2025-05-13 09:00:00,
112,70,Greed,2025-05-12 09:00:00,
113,70,Greed,2025-05-11 09:00:00,
114,70,Greed,2025-05-10 09:00:00,
115,73,Greed,2025-05-09 09:00:00,
116,65,Greed,2025-05-08 09:00:00,
117,67,Greed,2025-05-07 09:00:00,
118,59,Greed,2025-05-06 09:00:00,
119,52,Neutral,2025-05-05 09:00:00,
120,64,Greed,2025-05-04 09:00:00,
121,65,Greed,2025-05-03 09:00:00,
122,67,Greed,2025-05-02 09:00:00,
123,53,Neutral,2025-05-01 09:00:00,
124,56,Greed,2025-04-30 09:00:00,
125,60,Greed,2025-04-29 09:00:00,
126,54,Neutral,2025-04-28 09:00:00,
127,61,Greed,2025-04-27 09:00:00,
128,65,Greed,2025-04-26 09:00:00,
129,60,Greed,2025-04-25 09:00:00,
130,63,Greed,2025-04-24 09:00:00,
131,72,Greed,2025-04-23 09:00:00,
132,47,Neutral,2025-04-22 09:00:00,
133,39,Fear,2025-04-21 09:00:00,
134,37,Fear,2025-04-20 09:00:00,
135,32,Fear,2025-04-19 09:00:00,
136,33,Fear,2025-04-18 09:00:00,
137,30,Fear,2025-04-17 09:00:00,
138,29,Fear,2025-04-16 09:00:00,
139,38,Fear,2025-04-15 09:00:00,
140,31,Fear,2025-04-14 09:00:00,
141,45,Fear,2025-04-13 09:00:00,
142,43,Fear,2025-04-12 09:00:00,
143,25,Extreme Fear,2025-04-11 09:00:00,
144,39,Fear,2025-04-10 09:00:00,
145,18,Extreme Fear,2025-04-09 09:00:00,
146,24,Extreme Fear,2025-04-08 09:00:00,
147,23,Extreme Fear,2025-04-07 09:00:00,
148,34,Fear,2025-04-06 09:00:00,
149,30,Fear,2025-04-05 09:00:00,
150,28,Fear,2025-04-04 09:00:00,
151,25,Extreme Fear,2025-04-03 09:00:00,
152,44,Fear,2025-04-02 09:00:00,
153,34,Fear,2025-04-01 09:00:00,
154,34,Fear,2025-03-31 09:00:00,
155,32,Fear,2025-03-30 09:00:00,
156,26,Fear,2025-03-29 09:00:00,
157,44,Fear,2025-03-28 09:00:00,
158,40,Fear,2025-03-27 09:00:00,
159,47,Neutral,2025-03-26 09:00:00,
160,46,Fear,2025-03-25 09:00:00,
161,45,Fear,2025-03-24 09:00:00,
162,30,Fear,2025-03-23 09:00:00,
163,32,Fear,2025-03-22 09:00:00,
164,31,Fear,2025-03-21 09:00:00,
165,49,Neutral,2025-03-20 09:00:00,
166,32,Fear,2025-03-19 09:00:00,
167,34,Fear,2025-03-18 09:00:00,
168,32,Fear,2025-03-17 09:00:00,
169,30,Fear,2025-03-16 09:00:00,
170,46,Fear,2025-03-15 09:00:00,
171,27,Fear,2025-03-14 09:00:00,
172,45,Fear,2025-03-13 09:00:00,
173,34,Fear,2025-03-12 09:00:00,
174,24,Extreme Fear,2025-03-11 09:00:00,
175,20,Extreme Fear,2025-03-10 09:00:00,
176,27,Fear,2025-03-09 09:00:00,
177,28,Fear,2025-03-08 09:00:00,
178,34,Fear,2025-03-07 09:00:00,
179,25,Extreme Fear,2025-03-06 09:00:00,
180,20,Extreme Fear,2025-03-05 09:00:00,
181,15,Extreme Fear,2025-03-04 09:00:00,
182,33,Fear,2025-03-03 09:00:00,
183,26,Fear,2025-03-02 09:00:00,
184,20,Extreme Fear,2025-03-01 09:00:00,
185,16,Extreme Fear,2025-02-28 09:00:00,
186,10,Extreme Fear,2025-02-27 09:00:00,
187,21,Extreme Fear,2025-02-26 09:00:00,
188,25,Extreme Fear,2025-02-25 09:00:00,
189,49,Neutral,2025-02-24 09:00:00,
190,50,Neutral,2025-02-23 09:00:00,
191,49,Neutral,2025-02-22 09:00:00,
192,55,Greed,2025-02-21 09:00:00,
193,49,Neutral,2025-02-20 09:00:00,
194,44,Fear,2025-02-19 09:00:00,
195,47,Neutral,2025-02-18 09:00:00,
196,51,Neutral,2025-02-17 09:00:00,
197,54,Neutral,2025-02-16 09:00:00,
198,50,Neutral,2025-02-15 09:00:00,
199,48,Neutral,2025-02-14 09:00:00,
200,50,Neutral,2025-02-13 09:00:00,
201,46,Fear,2025-02-12 09:00:00,
202,47,Neutral,2025-02-11 09:00:00,
203,43,Fear,2025-02-10 09:00:00,
204,46,Fear,2025-02-09 09:00:00,
205,44,Fear,2025-02-08 09:00:00,
206,44,Fear,2025-02-07 09:00:00,
207,49,Neutral,2025-02-06 09:00:00,
208,54,Neutral,2025-02-05 09:00:00,
209,72,Greed,2025-02-04 09:00:00,
210,44,Fear,2025-02-03 09:00:00,
211,60,Greed,2025-02-02 09:00:00,
212,68,Greed,2025-02-01 09:00:00,
213,76,Extreme Greed,2025-01-31 09:00:00,
214,70,Greed,2025-01-30 09:00:00,
215,72,Greed,2025-01-29 09:00:00,
216,72,Greed,2025-01-28 09:00:00,
217,71,Greed,2025-01-27 09:00:00,
218,73,Greed,2025-01-26 09:00:00,
219,75,Greed,2025-01-25 09:00:00,
220,75,Greed,2025-01-24 09:00:00,
221,75,Greed,2025-01-23 09:00:00,
222,84,Extreme Greed,2025-01-22 09:00:00,
223,76,Extreme Greed,2025-01-21 09:00:00,
224,76,Extreme Greed,2025-01-20 09:00:00,
225,77,Extreme Greed,2025-01-19 09:00:00,
226,77,Extreme Greed,2025-01-18 09:00:00,
227,75,Greed,2025-01-17 09:00:00,
228,75,Greed,2025-01-16 09:00:00,
229,70,Greed,2025-01-15 09:00:00,
230,63,Greed,2025-01-14 09:00:00,
231,61,Greed,2025-01-13 09:00:00,
232,62,Greed,2025-01-12 09:00:00,
233,69,Greed,2025-01-11 09:00:00,
234,50,Neutral,2025-01-10 09:00:00,
235,69,Greed,2025-01-09 09:00:00,
236,70,Greed,2025-01-08 09:00:00,
237,78,Extreme Greed,2025-01-07 09:00:00,
238,76,Extreme Greed,2025-01-06 09:00:00,
239,72,Greed,2025-01-05 09:00:00,
240,73,Greed,2025-01-04 09:00:00,
241,74,Greed,2025-01-03 09:00:00,
242,70,Greed,2025-01-02 09:00:00,
243,66,Greed,2025-01-01 09:00:00,
244,64,Greed,2024-12-31 09:00:00,
245,65,Greed,2024-12-30 09:00:00,
246,73,Greed,2024-12-29 09:00:00,
247,72,Greed,2024-12-28 09:00:00,
248,74,Greed,2024-12-27 09:00:00,
249,79,Extreme Greed,2024-12-26 09:00:00,
250,73,Greed,2024-12-25 09:00:00,
251,73,Greed,2024-12-24 09:00:00,
252,70,Greed,2024-12-23 09:00:00,
253,73,Greed,2024-12-22 09:00:00,
254,73,Greed,2024-12-21 09:00:00,
255,74,Greed,2024-12-20 09:00:00,
256,75,Greed,2024-12-19 09:00:00,
257,81,Extreme Greed,2024-12-18 09:00:00,
258,87,Extreme Greed,2024-12-17 09:00:00,
259,83,Extreme Greed,2024-12-16 09:00:00,
260,80,Extreme Greed,2024-12-15 09:00:00,
261,83,Extreme Greed,2024-12-14 09:00:00,
262,76,Extreme Greed,2024-12-13 09:00:00,
263,83,Extreme Greed,2024-12-12 09:00:00,
264,74,Greed,2024-12-11 09:00:00,
265,78,Extreme Greed,2024-12-10 09:00:00,
266,78,Extreme Greed,2024-12-09 09:00:00,
267,79,Extreme Greed,2024-12-08 09:00:00,
268,75,Greed,2024-12-07 09:00:00,
269,72,Greed,2024-12-06 09:00:00,
270,84,Extreme Greed,2024-12-05 09:00:00,
271,78,Extreme Greed,2024-12-04 09:00:00,
272,76,Extreme Greed,2024-12-03 09:00:00,
273,80,Extreme Greed,2024-12-02 09:00:00,
274,81,Extreme Greed,2024-12-01 09:00:00,
275,84,Extreme Greed,2024-11-30 09:00:00,
276,78,Extreme Greed,2024-11-29 09:00:00,
277,77,Extreme Greed,2024-11-28 09:00:00,
278,75,Greed,2024-11-27 09:00:00,
279,79,Extreme Greed,2024-11-26 09:00:00,
280,82,Extreme Greed,2024-11-25 09:00:00,
281,80,Extreme Greed,2024-11-24 09:00:00,
282,93,Extreme Greed,2024-11-23 09:00:00,
283,94,Extreme Greed,2024-11-22 09:00:00,
284,82,Extreme Greed,2024-11-21 09:00:00,
285,83,Extreme Greed,2024-11-20 09:00:00,
286,90,Extreme Greed,2024-11-19 09:00:00,
287,83,Extreme Greed,2024-11-18 09:00:00,
288,90,Extreme Greed,2024-11-17 09:00:00,
289,86,Extreme Greed,2024-11-16 09:00:00,
290,80,Extreme Greed,2024-11-15 09:00:00,
291,88,Extreme Greed,2024-11-14 09:00:00,
292,84,Extreme Greed,2024-11-13 09:00:00,
293,80,Extreme Greed,2024-11-12 09:00:00,
294,76,Extreme Greed,2024-11-11 09:00:00,
295,78,Extreme Greed,2024-11-10 09:00:00,
296,75,Greed,2024-11-09 09:00:00,
297,75,Greed,2024-11-08 09:00:00,
298,77,Extreme Greed,2024-11-07 09:00:00,
299,70,Greed,2024-11-06 09:00:00,
300,70,Greed,2024-11-05 09:00:00,
301,70,Greed,2024-11-04 09:00:00,
302,74,Greed,2024-11-03 09:00:00,
303,72,Greed,2024-11-02 09:00:00,
304,75,Greed,2024-11-01 09:00:00,
305,77,Extreme Greed,2024-10-31 09:00:00,
306,77,Extreme Greed,2024-10-30 09:00:00,
307,72,Greed,2024-10-29 09:00:00,
308,72,Greed,2024-10-28 09:00:00,
309,74,Greed,2024-10-27 09:00:00,
310,72,Greed,2024-10-25 09:00:00,
311,69,Greed,2024-10-24 09:00:00,
312,71,Greed,2024-10-23 09:00:00,
313,70,Greed,2024-10-22 09:00:00,
314,72,Greed,2024-10-21 09:00:00,
315,73,Greed,2024-10-20 09:00:00,
316,72,Greed,2024-10-19 09:00:00,
317,73,Greed,2024-10-18 09:00:00,
318,71,Greed,2024-10-17 09:00:00,
319,73,Greed,2024-10-16 09:00:00,
320,65,Greed,2024-10-15 09:00:00,
321,48,Neutral,2024-10-14 09:00:00,
322,50,Neutral,2024-10-13 09:00:00,
323,49,Neutral,2024-10-12 09:00:00,
324,32,Fear,2024-10-11 09:00:00,
325,39,Fear,2024-10-10 09:00:00,
326,49,Neutral,2024-10-09 09:00:00,
327,49,Neutral,2024-10-08 09:00:00,
328,50,Neutral,2024-10-07 09:00:00,
329,50,Neutral,2024-10-06 09:00:00,
330,49,Neutral,2024-10-05 09:00:00,
331,41,Fear,2024-10-04 09:00:00,
332,37,Fear,2024-10-03 09:00:00,
333,42,Fear,2024-10-02 09:00:00,
334,50,Neutral,2024-10-01 09:00:00,
335,61,Greed,2024-09-30 09:00:00,
336,63,Greed,2024-09-29 09:00:00,
337,64,Greed,2024-09-28 09:00:00,
338,61,Greed,2024-09-27 09:00:00,
339,50,Neutral,2024-09-26 09:00:00,
340,59,Greed,2024-09-25 09:00:00,
341,54,Neutral,2024-09-24 09:00:00,
342,50,Neutral,2024-09-23 09:00:00,
343,52,Neutral,2024-09-22 09:00:00,
344,54,Neutral,2024-09-21 09:00:00,
345,54,Neutral,2024-09-20 09:00:00,
346,49,Neutral,2024-09-19 09:00:00,
347,45,Fear,2024-09-18 09:00:00,
348,33,Fear,2024-09-17 09:00:00,
349,39,Fear,2024-09-16 09:00:00,
350,51,Neutral,2024-09-15 09:00:00,
351,50,Neutral,2024-09-14 09:00:00,
352,32,Fear,2024-09-13 09:00:00,
353,31,Fear,2024-09-12 09:00:00,
354,37,Fear,2024-09-11 09:00:00,
355,33,Fear,2024-09-10 09:00:00,
356,26,Fear,2024-09-09 09:00:00,
357,29,Fear,2024-09-08 09:00:00,
358,23,Extreme Fear,2024-09-07 09:00:00,
359,22,Extreme Fear,2024-09-06 09:00:00,
360,29,Fear,2024-09-05 09:00:00,
361,27,Fear,2024-09-04 09:00:00,
362,26,Fear,2024-09-03 09:00:00,
363,26,Fear,2024-09-02 09:00:00,
364,26,Fear,2024-09-01 09:00:00,
365,29,Fear,2024-08-31 09:00:00,
366,34,Fear,2024-08-30 09:00:00,
367,29,Fear,2024-08-29 09:00:00,
368,30,Fear,2024-08-28 09:00:00,
369,48,Neutral,2024-08-27 09:00:00,
370,55,Greed,2024-08-26 09:00:00,
371,54,Neutral,2024-08-25 09:00:00,
372,56,Greed,2024-08-24 09:00:00,
373,34,Fear,2024-08-23 09:00:00,
374,39,Fear,2024-08-22 09:00:00,
375,26,Fear,2024-08-21 09:00:00,
376,30,Fear,2024-08-20 09:00:00,
377,28,Fear,2024-08-19 09:00:00,
378,31,Fear,2024-08-18 09:00:00,
379,25,Extreme Fear,2024-08-17 09:00:00,
380,27,Fear,2024-08-16 09:00:00,
381,29,Fear,2024-08-15 09:00:00,
382,30,Fear,2024-08-14 09:00:00,
383,31,Fear,2024-08-13 09:00:00,
384,25,Extreme Fear,2024-08-12 09:00:00,
385,39,Fear,2024-08-11 09:00:00,
386,40,Fear,2024-08-10 09:00:00,
387,48,Neutral,2024-08-09 09:00:00,
388,20,Extreme Fear,2024-08-08 09:00:00,
389,29,Fear,2024-08-07 09:00:00,
390,17,Extreme Fear,2024-08-06 09:00:00,
391,26,Fear,2024-08-05 09:00:00,
392,34,Fear,2024-08-04 09:00:00,
393,37,Fear,2024-08-03 09:00:00,
394,57,Greed,2024-08-02 09:00:00,
395,52,Neutral,2024-08-01 09:00:00,
396,61,Greed,2024-07-31 09:00:00,
397,67,Greed,2024-07-30 09:00:00,
398,74,Greed,2024-07-29 09:00:00,
399,71,Greed,2024-07-28 09:00:00,
400,72,Greed,2024-07-27 09:00:00,
401,68,Greed,2024-07-26 09:00:00,
402,68,Greed,2024-07-25 09:00:00,
403,69,Greed,2024-07-24 09:00:00,
404,71,Greed,2024-07-23 09:00:00,
405,70,Greed,2024-07-22 09:00:00,
406,74,Greed,2024-07-21 09:00:00,
407,74,Greed,2024-07-20 09:00:00,
408,60,Greed,2024-07-19 09:00:00,
409,61,Greed,2024-07-18 09:00:00,
410,69,Greed,2024-07-17 09:00:00,
411,65,Greed,2024-07-16 09:00:00,
412,52,Neutral,2024-07-15 09:00:00,
413,33,Fear,2024-07-14 09:00:00,
414,25,Extreme Fear,2024-07-13 09:00:00,
415,25,Extreme Fear,2024-07-12 09:00:00,
416,29,Fear,2024-07-11 09:00:00,
417,28,Fear,2024-07-10 09:00:00,
418,27,Fear,2024-07-09 09:00:00,
419,28,Fear,2024-07-08 09:00:00,
420,29,Fear,2024-07-07 09:00:00,
421,26,Fear,2024-07-06 09:00:00,
422,29,Fear,2024-07-05 09:00:00,
423,44,Fear,2024-07-04 09:00:00,
424,50,Neutral,2024-07-03 09:00:00,
425,51,Neutral,2024-07-02 09:00:00,
426,53,Neutral,2024-07-01 09:00:00,
427,47,Neutral,2024-06-30 09:00:00,
428,30,Fear,2024-06-29 09:00:00,
429,47,Neutral,2024-06-28 09:00:00,
430,40,Fear,2024-06-27 09:00:00,
431,46,Fear,2024-06-26 09:00:00,
432,30,Fear,2024-06-25 09:00:00,
433,51,Neutral,2024-06-24 09:00:00,
434,55,Greed,2024-06-23 09:00:00,
435,53,Neutral,2024-06-22 09:00:00,
436,63,Greed,2024-06-21 09:00:00,
437,60,Greed,2024-06-20 09:00:00,
438,64,Greed,2024-06-19 09:00:00,
439,74,Greed,2024-06-18 09:00:00,
440,71,Greed,2024-06-17 09:00:00,
441,71,Greed,2024-06-16 09:00:00,
442,74,Greed,2024-06-15 09:00:00,
443,74,Greed,2024-06-14 09:00:00,
444,70,Greed,2024-06-13 09:00:00,
445,72,Greed,2024-06-12 09:00:00,
446,74,Greed,2024-06-11 09:00:00,
447,72,Greed,2024-06-10 09:00:00,
448,75,Greed,2024-06-09 09:00:00,
449,72,Greed,2024-06-08 09:00:00,
450,77,Extreme Greed,2024-06-07 09:00:00,
451,78,Extreme Greed,2024-06-06 09:00:00,
452,75,Greed,2024-06-05 09:00:00,
453,73,Greed,2024-06-04 09:00:00,
454,73,Greed,2024-06-03 09:00:00,
455,73,Greed,2024-06-02 09:00:00,
456,72,Greed,2024-06-01 09:00:00,
457,73,Greed,2024-05-31 09:00:00,
458,73,Greed,2024-05-30 09:00:00,
459,72,Greed,2024-05-29 09:00:00,
460,72,Greed,2024-05-28 09:00:00,
461,74,Greed,2024-05-27 09:00:00,
462,75,Greed,2024-05-26 09:00:00,
463,76,Extreme Greed,2024-05-25 09:00:00,
464,74,Greed,2024-05-24 09:00:00,
465,76,Extreme Greed,2024-05-23 09:00:00,
466,76,Extreme Greed,2024-05-22 09:00:00,
467,76,Extreme Greed,2024-05-21 09:00:00,
468,70,Greed,2024-05-20 09:00:00,
469,72,Greed,2024-05-19 09:00:00,
470,73,Greed,2024-05-18 09:00:00,
471,74,Greed,2024-05-17 09:00:00,
472,70,Greed,2024-05-16 09:00:00,
473,64,Greed,2024-05-15 09:00:00,
474,66,Greed,2024-05-14 09:00:00,
475,57,Greed,2024-05-13 09:00:00,
476,56,Greed,2024-05-12 09:00:00,
477,53,Neutral,2024-05-11 09:00:00,
478,66,Greed,2024-05-10 09:00:00,
479,55,Greed,2024-05-09 09:00:00,
480,64,Greed,2024-05-08 09:00:00,
481,68,Greed,2024-05-07 09:00:00,
482,71,Greed,2024-05-06 09:00:00,
483,69,Greed,2024-05-05 09:00:00,
484,67,Greed,2024-05-04 09:00:00,
485,48,Neutral,2024-05-03 09:00:00,
486,43,Fear,2024-05-02 09:00:00,
487,54,Neutral,2024-05-01 09:00:00,
488,67,Greed,2024-04-30 09:00:00,
489,67,Greed,2024-04-29 09:00:00,
490,65,Greed,2024-04-28 09:00:00,
491,67,Greed,2024-04-27 09:00:00,
492,70,Greed,2024-04-26 09:00:00,
493,72,Greed,2024-04-25 09:00:00,
494,72,Greed,2024-04-24 09:00:00,
495,71,Greed,2024-04-23 09:00:00,
496,73,Greed,2024-04-22 09:00:00,
497,72,Greed,2024-04-21 09:00:00,
498,66,Greed,2024-04-20 09:00:00,
499,66,Greed,2024-04-19 09:00:00,
500,57,Greed,2024-04-18 09:00:00,
501,67,Greed,2024-04-17 09:00:00,
502,65,Greed,2024-04-16 09:00:00,
503,74,Greed,2024-04-15 09:00:00,
504,72,Greed,2024-04-14 09:00:00,
505,72,Greed,2024-04-13 09:00:00,
506,79,Extreme Greed,2024-04-12 09:00:00,
507,76,Extreme Greed,2024-04-11 09:00:00,
508,78,Extreme Greed,2024-04-10 09:00:00,
509,80,Extreme Greed,2024-04-09 09:00:00,
510,76,Extreme Greed,2024-04-08 09:00:00,
511,78,Extreme Greed,2024-04-07 09:00:00,
512,75,Greed,2024-04-06 09:00:00,
513,79,Extreme Greed,2024-04-05 09:00:00,
514,70,Greed,2024-04-04 09:00:00,
515,71,Greed,2024-04-03 09:00:00,
516,79,Extreme Greed,2024-04-02 09:00:00,
517,79,Extreme Greed,2024-04-01 09:00:00,
518,75,Greed,2024-03-31 09:00:00,
519,75,Greed,2024-03-30 09:00:00,
520,79,Extreme Greed,2024-03-29 09:00:00,
521,80,Extreme Greed,2024-03-28 09:00:00,
522,83,Extreme Greed,2024-03-27 09:00:00,
523,81,Extreme Greed,2024-03-26 09:00:00,
524,75,Greed,2024-03-25 09:00:00,
525,74,Greed,2024-03-24 09:00:00,
526,73,Greed,2024-03-23 09:00:00,
527,75,Greed,2024-03-22 09:00:00,
528,78,Extreme Greed,2024-03-21 09:00:00,
529,74,Greed,2024-03-20 09:00:00,
530,79,Extreme Greed,2024-03-19 09:00:00,
531,77,Extreme Greed,2024-03-18 09:00:00,
532,79,Extreme Greed,2024-03-17 09:00:00,
533,81,Extreme Greed,2024-03-16 09:00:00,
534,83,Extreme Greed,2024-03-15 09:00:00,
535,88,Extreme Greed,2024-03-14 09:00:00,
536,81,Extreme Greed,2024-03-13 09:00:00,
537,81,Extreme Greed,2024-03-12 09:00:00,
538,82,Extreme Greed,2024-03-11 09:00:00,
539,79,Extreme Greed,2024-03-10 09:00:00,
540,84,Extreme Greed,2024-03-09 09:00:00,
541,81,Extreme Greed,2024-03-08 09:00:00,
542,82,Extreme Greed,2024-03-07 09:00:00,
543,75,Greed,2024-03-06 09:00:00,
544,90,Extreme Greed,2024-03-05 09:00:00,
545,82,Extreme Greed,2024-03-04 09:00:00,
546,83,Extreme Greed,2024-03-03 09:00:00,
547,80,Extreme Greed,2024-03-02 09:00:00,
548,80,Extreme Greed,2024-03-01 09:00:00,
549,80,Extreme Greed,2024-02-29 09:00:00,
550,82,Extreme Greed,2024-02-28 09:00:00,
551,79,Extreme Greed,2024-02-27 09:00:00,
552,72,Greed,2024-02-26 09:00:00,
553,74,Greed,2024-02-25 09:00:00,
554,72,Greed,2024-02-24 09:00:00,
555,76,Extreme Greed,2024-02-23 09:00:00,
556,74,Greed,2024-02-22 09:00:00,
557,78,Extreme Greed,2024-02-21 09:00:00,
558,72,Greed,2024-02-20 09:00:00,
559,75,Greed,2024-02-19 09:00:00,
560,72,Greed,2024-02-18 09:00:00,
561,76,Extreme Greed,2024-02-17 09:00:00,
562,72,Greed,2024-02-16 09:00:00,
563,72,Greed,2024-02-15 09:00:00,
564,74,Greed,2024-02-14 09:00:00,
565,79,Extreme Greed,2024-02-13 09:00:00,
566,70,Greed,2024-02-12 09:00:00,
567,71,Greed,2024-02-11 09:00:00,
568,74,Greed,2024-02-10 09:00:00,
569,72,Greed,2024-02-09 09:00:00,
570,66,Greed,2024-02-08 09:00:00,
571,62,Greed,2024-02-07 09:00:00,
572,64,Greed,2024-02-06 09:00:00,
573,60,Greed,2024-02-05 09:00:00,
574,60,Greed,2024-02-04 09:00:00,
575,60,Greed,2024-02-03 09:00:00,
576,63,Greed,2024-02-02 09:00:00,
577,63,Greed,2024-02-01 09:00:00,
578,60,Greed,2024-01-31 09:00:00,
579,61,Greed,2024-01-30 09:00:00,
580,55,Greed,2024-01-29 09:00:00,
581,54,Neutral,2024-01-28 09:00:00,
582,55,Greed,2024-01-27 09:00:00,
583,49,Neutral,2024-01-26 09:00:00,
584,52,Neutral,2024-01-25 09:00:00,
585,48,Neutral,2024-01-24 09:00:00,
586,50,Neutral,2024-01-23 09:00:00,
587,55,Greed,2024-01-22 09:00:00,
588,56,Greed,2024-01-21 09:00:00,
589,52,Neutral,2024-01-20 09:00:00,
590,51,Neutral,2024-01-19 09:00:00,
591,63,Greed,2024-01-18 09:00:00,
592,60,Greed,2024-01-17 09:00:00,
593,64,Greed,2024-01-16 09:00:00,
594,52,Neutral,2024-01-15 09:00:00,
595,60,Greed,2024-01-14 09:00:00,
596,64,Greed,2024-01-13 09:00:00,
597,71,Greed,2024-01-12 09:00:00,
598,76,Extreme Greed,2024-01-11 09:00:00,
599,73,Greed,2024-01-10 09:00:00,
600,76,Extreme Greed,2024-01-09 09:00:00,
601,71,Greed,2024-01-08 09:00:00,
602,71,Greed,2024-01-07 09:00:00,
603,70,Greed,2024-01-06 09:00:00,
604,72,Greed,2024-01-05 09:00:00,
605,68,Greed,2024-01-04 09:00:00,
606,70,Greed,2024-01-03 09:00:00,
607,71,Greed,2024-01-02 09:00:00,
608,65,Greed,2024-01-01 09:00:00,
