"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 13","2,336.05","2,362.70","2,364.94","2,332.34","","-1.02%"
"2024- 05- 10","2,360.14","2,346.26","2,378.45","2,345.25","","0.61%"
"2024- 05- 09","2,345.88","2,309.04","2,347.59","2,306.67","","1.61%"
"2024- 05- 08","2,308.65","2,314.70","2,321.56","2,303.85","","-0.22%"
"2024- 05- 07","2,313.79","2,322.50","2,330.06","2,310.06","","-0.42%"
"2024- 05- 06","2,323.57","2,302.50","2,331.99","2,291.79","","0.96%"
"2024- 05- 03","2,301.56","2,303.20","2,321.64","2,277.47","","-0.08%"
"2024- 05- 02","2,303.29","2,319.89","2,326.57","2,285.58","","-0.63%"
"2024- 05- 01","2,317.90","2,285.91","2,328.40","2,281.66","","1.41%"
"2024- 04- 30","2,285.57","2,335.10","2,336.54","2,284.94","","-2.09%"
"2024- 04- 29","2,334.44","2,337.50","2,346.85","2,320.08","","-0.14%"
"2024- 04- 26","2,337.72","2,332.16","2,352.62","2,326.30","","0.25%"
"2024- 04- 25","2,331.78","2,316.20","2,344.86","2,305.28","","0.69%"
"2024- 04- 24","2,315.82","2,322.19","2,337.16","2,311.90","","-0.26%"
"2024- 04- 23","2,321.81","2,326.62","2,334.48","2,291.40","","-0.19%"
"2024- 04- 22","2,326.29","2,388.20","2,388.72","2,325.29","","-2.68%"
"2024- 04- 19","2,390.45","2,378.60","2,417.79","2,372.96","","0.51%"
"2024- 04- 18","2,378.25","2,360.74","2,392.84","2,360.70","","0.74%"
"2024- 04- 17","2,360.81","2,383.20","2,395.63","2,354.84","","-0.92%"
"2024- 04- 16","2,382.83","2,382.86","2,398.34","2,362.95","","0.01%"
"2024- 04- 15","2,382.51","2,343.86","2,387.59","2,324.59","","1.67%"
"2024- 04- 12","2,343.43","2,373.59","2,431.53","2,333.90","","-1.26%"
"2024- 04- 11","2,373.24","2,333.17","2,377.80","2,325.84","","1.73%"
"2024- 04- 10","2,332.79","2,352.91","2,360.15","2,319.54","","-0.84%"
"2024- 04- 09","2,352.58","2,339.24","2,365.34","2,336.94","","0.59%"
"2024- 04- 08","2,338.89","2,322.00","2,354.09","2,302.86","","0.40%"
"2024- 04- 05","2,329.50","2,289.88","2,330.34","2,267.85","","1.75%"
"2024- 04- 04","2,289.43","2,299.62","2,305.31","2,280.15","","-0.42%"
"2024- 04- 03","2,299.17","2,279.57","2,301.22","2,265.50","","0.84%"
"2024- 04- 02","2,280.10","2,250.88","2,281.17","2,246.79","","1.32%"
"2024- 04- 01","2,250.36","2,239.59","2,265.86","2,228.54","","0.81%"
"2024- 03- 28","2,232.38","2,194.19","2,235.90","2,187.33","","1.75%"
"2024- 03- 27","2,194.02","2,179.03","2,197.71","2,173.59","","0.71%"
"2024- 03- 26","2,178.58","2,171.82","2,200.15","2,167.75","","0.33%"
"2024- 03- 25","2,171.45","2,165.79","2,181.30","2,163.50","","0.34%"
"2024- 03- 22","2,164.15","2,181.50","2,186.25","2,157.15","","-0.76%"
"2024- 03- 21","2,180.81","2,186.00","2,222.90","2,166.50","","-0.24%"
"2024- 03- 20","2,185.96","2,158.29","2,188.90","2,149.60","","1.33%"
"2024- 03- 19","2,157.23","2,160.70","2,162.93","2,146.90","","-0.13%"
"2024- 03- 18","2,159.99","2,156.00","2,163.64","2,146.05","","0.21%"
"2024- 03- 15","2,155.54","2,162.40","2,173.25","2,155.19","","-0.25%"
"2024- 03- 14","2,161.01","2,174.29","2,177.10","2,152.86","","-0.62%"
"2024- 03- 13","2,174.40","2,158.25","2,179.91","2,155.54","","0.76%"
"2024- 03- 12","2,157.99","2,183.00","2,184.86","2,150.59","","-1.12%"
"2024- 03- 11","2,182.47","2,177.71","2,189.04","2,174.80","","0.23%"
"2024- 03- 08","2,177.51","2,159.40","2,195.20","2,154.08","","0.85%"
"2024- 03- 07","2,159.16","2,148.54","2,164.54","2,144.29","","0.51%"
"2024- 03- 06","2,148.29","2,127.95","2,152.29","2,123.65","","0.98%"
"2024- 03- 05","2,127.55","2,115.15","2,142.15","2,110.52","","0.59%"
"2024- 03- 04","2,114.99","2,082.09","2,119.95","2,079.45","","1.52%"
"2024- 03- 01","2,083.39","2,043.44","2,088.40","2,038.55","","1.96%"
"2024- 02- 29","2,043.24","2,034.92","2,050.79","2,027.75","","0.42%"
"2024- 02- 28","2,034.62","2,030.05","2,038.30","2,024.56","","0.25%"
"2024- 02- 27","2,029.64","2,030.99","2,039.99","2,028.78","","-0.05%"
"2024- 02- 26","2,030.66","2,034.49","2,037.59","2,025.10","","-0.25%"
"2024- 02- 23","2,035.72","2,024.49","2,041.43","2,015.55","","0.57%"
"2024- 02- 22","2,024.11","2,025.24","2,034.84","2,019.70","","-0.04%"
"2024- 02- 21","2,024.99","2,023.80","2,032.22","2,020.19","","0.07%"
"2024- 02- 20","2,023.53","2,017.99","2,030.96","2,015.02","","0.29%"
"2024- 02- 19","2,017.63","2,013.16","2,023.34","2,011.57","","0.22%"
"2024- 02- 16","2,013.10","2,004.40","2,015.25","1,995.26","","0.45%"
"2024- 02- 15","2,004.09","1,992.69","2,008.49","1,990.25","","0.59%"
"2024- 02- 14","1,992.39","1,992.55","1,996.14","1,984.30","","0.01%"
"2024- 02- 13","1,992.13","2,019.90","2,030.05","1,990.19","","-1.37%"
"2024- 02- 12","2,019.79","2,024.53","2,028.09","2,011.91","","-0.22%"
"2024- 02- 09","2,024.16","2,033.65","2,037.44","2,020.30","","-0.44%"
"2024- 02- 08","2,033.18","2,034.55","2,038.94","2,019.75","","-0.05%"
"2024- 02- 07","2,034.22","2,035.90","2,044.65","2,030.65","","-0.06%"
"2024- 02- 06","2,035.46","2,024.99","2,039.02","2,022.55","","0.53%"
"2024- 02- 05","2,024.67","2,039.91","2,042.32","2,014.40","","-0.68%"
"2024- 02- 02","2,038.59","2,055.09","2,058.20","2,027.45","","-0.79%"
"2024- 02- 01","2,054.89","2,037.59","2,065.42","2,029.55","","0.87%"
"2024- 01- 31","2,037.19","2,036.58","2,056.08","2,031.00","","0.05%"
"2024- 01- 30","2,036.12","2,031.97","2,048.48","2,029.19","","0.21%"
"2024- 01- 29","2,031.75","2,019.40","2,037.75","2,017.38","","0.66%"
"2024- 01- 26","2,018.34","2,019.94","2,026.80","2,015.97","","-0.07%"
"2024- 01- 25","2,019.75","2,012.84","2,025.27","2,010.15","","0.36%"
"2024- 01- 24","2,012.59","2,028.94","2,036.74","2,011.28","","-0.79%"
"2024- 01- 23","2,028.69","2,021.24","2,037.92","2,019.59","","0.38%"
"2024- 01- 22","2,020.99","2,029.90","2,032.28","2,016.74","","-0.40%"
"2024- 01- 19","2,029.09","2,023.05","2,039.49","2,020.37","","0.32%"
"2024- 01- 18","2,022.67","2,006.09","2,023.45","2,005.43","","0.85%"
"2024- 01- 17","2,005.72","2,027.90","2,033.05","2,001.91","","-1.08%"
"2024- 01- 16","2,027.59","2,054.91","2,055.65","2,024.29","","-1.31%"
"2024- 01- 15","2,054.49","2,048.09","2,059.25","2,045.80","","0.28%"
"2024- 01- 12","2,048.72","2,028.30","2,062.35","2,027.99","","1.02%"
"2024- 01- 11","2,028.09","2,023.74","2,039.69","2,013.32","","0.23%"
"2024- 01- 10","2,023.40","2,029.94","2,040.44","2,020.45","","-0.31%"
"2024- 01- 09","2,029.59","2,028.40","2,042.09","2,026.11","","0.09%"
"2024- 01- 08","2,027.84","2,044.08","2,046.71","2,016.84","","-0.86%"
"2024- 01- 05","2,045.50","2,043.69","2,064.03","2,024.49","","0.11%"
"2024- 01- 04","2,043.26","2,041.34","2,051.40","2,036.24","","0.12%"
"2024- 01- 03","2,040.78","2,059.15","2,066.12","2,030.68","","-0.88%"
"2024- 01- 02","2,058.88","2,062.90","2,079.02","2,056.04","","-0.24%"
"2024- 01- 01","2,063.80","2,064.24","2,074.90","2,063.30","","0.06%"
"2023- 12- 29","2,062.59","2,065.15","2,075.15","2,057.75","","-0.11%"
"2023- 12- 28","2,064.86","2,077.34","2,088.54","2,065.89","","-0.59%"
"2023- 12- 27","2,077.16","2,066.70","2,084.59","2,061.00","","0.51%"
"2023- 12- 26","2,066.60","2,055.73","2,068.65","2,053.59","","0.57%"
"2023- 12- 25","2,054.93","2,054.32","2,058.36","2,053.96","","0.10%"
"2023- 12- 22","2,052.98","2,045.84","2,070.65","2,045.65","","0.37%"
"2023- 12- 21","2,045.49","2,029.44","2,046.07","2,029.44","","0.80%"
"2023- 12- 20","2,029.19","2,040.34","2,043.94","2,029.37","","-0.54%"
"2023- 12- 19","2,040.12","2,027.30","2,047.07","2,021.74","","0.65%"
"2023- 12- 18","2,027.00","2,020.09","2,033.71","2,015.99","","0.44%"
"2023- 12- 15","2,018.19","2,035.80","2,045.55","2,015.68","","-0.85%"
"2023- 12- 14","2,035.53","2,026.59","2,047.98","2,024.33","","0.45%"
"2023- 12- 13","2,026.39","1,979.74","2,027.55","1,973.09","","2.37%"
"2023- 12- 12","1,979.44","1,981.59","1,996.80","1,977.19","","-0.09%"
"2023- 12- 11","1,981.30","2,003.60","2,008.72","1,975.95","","-1.10%"
"2023- 12- 08","2,003.39","2,028.69","2,034.19","1,994.74","","-1.23%"
"2023- 12- 07","2,028.34","2,025.30","2,039.93","2,020.26","","0.17%"
"2023- 12- 06","2,024.90","2,019.74","2,036.30","2,017.27","","0.27%"
"2023- 12- 05","2,019.42","2,030.15","2,041.33","2,010.02","","-0.51%"
"2023- 12- 04","2,029.74","2,071.25","2,135.90","2,020.34","","-1.99%"
"2023- 12- 01","2,070.90","2,034.49","2,075.34","2,033.75","","1.73%"
"2023- 11- 30","2,035.75","2,044.80","2,047.59","2,031.84","","-0.43%"
"2023- 11- 29","2,044.59","2,041.24","2,052.09","2,035.05","","0.18%"
"2023- 11- 28","2,040.89","2,013.94","2,043.00","2,011.60","","1.35%"
"2023- 11- 27","2,013.64","2,002.78","2,018.14","2,000.67","","0.58%"
"2023- 11- 24","2,001.97","1,994.06","2,003.68","1,991.40","","0.51%"
"2023- 11- 23","1,991.79","1,990.15","1,999.19","1,989.01","","0.10%"
"2023- 11- 22","1,989.72","1,998.69","2,006.90","1,986.89","","-0.43%"
"2023- 11- 21","1,998.37","1,977.49","2,007.52","1,977.34","","1.07%"
"2023- 11- 20","1,977.19","1,980.39","1,985.26","1,965.20","","-0.14%"
"2023- 11- 17","1,980.01","1,981.21","1,993.94","1,978.59","","-0.04%"
"2023- 11- 16","1,980.85","1,959.44","1,988.03","1,956.49","","1.11%"
"2023- 11- 15","1,959.09","1,963.05","1,975.59","1,955.41","","-0.18%"
"2023- 11- 14","1,962.67","1,946.19","1,970.84","1,943.40","","0.86%"
"2023- 11- 13","1,945.89","1,937.05","1,949.27","1,931.73","","0.47%"
"2023- 11- 10","1,936.79","1,958.40","1,960.93","1,933.18","","-1.09%"
"2023- 11- 09","1,958.19","1,950.09","1,965.69","1,944.30","","0.43%"
"2023- 11- 08","1,949.79","1,968.84","1,971.12","1,947.48","","-0.95%"
"2023- 11- 07","1,968.40","1,978.19","1,978.75","1,956.20","","-0.47%"
"2023- 11- 06","1,977.68","1,992.30","1,993.30","1,977.52","","-0.73%"
"2023- 11- 03","1,992.27","1,985.69","2,004.06","1,983.26","","0.34%"
"2023- 11- 02","1,985.51","1,983.53","1,991.49","1,978.90","","0.17%"
"2023- 11- 01","1,982.15","1,983.01","1,992.09","1,969.90","","-0.03%"
"2023- 10- 31","1,982.70","1,996.00","2,007.80","1,978.90","","-0.66%"
"2023- 10- 30","1,995.88","2,004.80","2,007.37","1,990.50","","-0.49%"
"2023- 10- 27","2,005.78","1,985.17","2,009.48","1,976.35","","1.06%"
"2023- 10- 26","1,984.82","1,979.97","1,994.05","1,971.60","","0.26%"
"2023- 10- 25","1,979.62","1,971.36","1,987.19","1,963.34","","0.48%"
"2023- 10- 24","1,970.11","1,972.97","1,980.99","1,953.50","","-0.13%"
"2023- 10- 23","1,972.59","1,972.90","1,983.40","1,964.36","","-0.43%"
"2023- 10- 20","1,981.04","1,974.31","1,997.27","1,971.93","","0.37%"
"2023- 10- 19","1,973.70","1,947.99","1,977.86","1,945.18","","1.34%"
"2023- 10- 18","1,947.69","1,923.70","1,962.74","1,923.05","","1.28%"
"2023- 10- 17","1,923.07","1,920.14","1,931.56","1,911.85","","0.19%"
"2023- 10- 16","1,919.44","1,929.30","1,931.80","1,907.65","","-0.63%"
"2023- 10- 13","1,931.70","1,869.02","1,933.76","1,868.94","","3.37%"
"2023- 10- 12","1,868.65","1,874.10","1,885.30","1,866.92","","-0.26%"
"2023- 10- 11","1,873.61","1,859.99","1,877.22","1,858.60","","0.73%"
"2023- 10- 10","1,860.09","1,861.27","1,865.65","1,852.65","","-0.04%"
"2023- 10- 09","1,860.88","1,832.74","1,864.15","1,832.63","","1.56%"
"2023- 10- 06","1,832.26","1,820.40","1,834.97","1,810.10","","0.67%"
"2023- 10- 05","1,820.01","1,820.49","1,829.30","1,812.70","","-0.06%"
"2023- 10- 04","1,821.08","1,824.30","1,831.05","1,816.15","","-0.10%"
"2023- 10- 03","1,822.81","1,827.96","1,833.36","1,814.70","","-0.25%"
"2023- 10- 02","1,827.40","1,848.13","1,849.06","1,826.60","","-1.13%"
"2023- 09- 29","1,848.31","1,865.43","1,880.24","1,846.34","","-0.87%"
"2023- 09- 28","1,864.56","1,875.73","1,880.15","1,857.76","","-0.54%"
"2023- 09- 27","1,874.70","1,900.69","1,903.95","1,872.47","","-1.36%"
"2023- 09- 26","1,900.49","1,916.03","1,916.89","1,899.17","","-0.79%"
"2023- 09- 25","1,915.66","1,925.24","1,927.26","1,915.00","","-0.48%"
"2023- 09- 22","1,924.99","1,920.08","1,929.65","1,919.58","","0.28%"
"2023- 09- 21","1,919.57","1,930.99","1,931.74","1,913.40","","-0.52%"
"2023- 09- 20","1,929.68","1,931.69","1,947.80","1,927.90","","-0.07%"
"2023- 09- 19","1,930.94","1,933.68","1,937.94","1,929.71","","-0.11%"
"2023- 09- 18","1,933.14","1,924.19","1,934.61","1,922.15","","0.50%"
"2023- 09- 15","1,923.57","1,910.90","1,930.84","1,909.74","","0.69%"
"2023- 09- 14","1,910.32","1,906.68","1,912.99","1,900.95","","0.21%"
"2023- 09- 13","1,906.30","1,913.55","1,916.30","1,905.50","","-0.36%"
"2023- 09- 12","1,913.26","1,922.90","1,925.05","1,907.15","","-0.44%"
"2023- 09- 11","1,921.66","1,919.16","1,930.90","1,916.90","","0.20%"
"2023- 09- 08","1,917.81","1,919.57","1,930.19","1,917.36","","-0.07%"
"2023- 09- 07","1,919.19","1,916.86","1,923.67","1,916.10","","0.15%"
"2023- 09- 06","1,916.28","1,926.16","1,929.80","1,914.80","","-0.50%"
"2023- 09- 05","1,925.81","1,938.59","1,939.13","1,925.22","","-0.64%"
"2023- 09- 04","1,938.19","1,940.49","1,946.42","1,936.15","","-0.03%"
"2023- 09- 01","1,938.80","1,940.19","1,953.44","1,934.59","","-0.05%"
"2023- 08- 31","1,939.74","1,942.61","1,948.19","1,938.86","","-0.13%"
"2023- 08- 30","1,942.24","1,937.48","1,949.04","1,934.94","","0.26%"
"2023- 08- 29","1,937.12","1,920.23","1,938.41","1,914.00","","0.91%"
"2023- 08- 28","1,919.66","1,916.09","1,926.19","1,912.83","","0.27%"
"2023- 08- 25","1,914.53","1,917.80","1,923.09","1,903.40","","-0.15%"
"2023- 08- 24","1,917.43","1,914.15","1,923.94","1,911.35","","0.16%"
"2023- 08- 23","1,914.31","1,897.80","1,920.94","1,897.23","","0.89%"
"2023- 08- 22","1,897.47","1,895.09","1,905.05","1,888.60","","0.19%"
"2023- 08- 21","1,893.94","1,889.40","1,899.05","1,884.50","","0.30%"
"2023- 08- 18","1,888.19","1,889.49","1,897.44","1,886.20","","-0.04%"
"2023- 08- 17","1,888.89","1,892.20","1,903.90","1,884.50","","-0.15%"
"2023- 08- 16","1,891.76","1,901.59","1,907.90","1,891.30","","-0.52%"
"2023- 08- 15","1,901.56","1,907.40","1,912.19","1,896.15","","-0.33%"
"2023- 08- 14","1,907.90","1,913.67","1,916.55","1,902.20","","-0.28%"
"2023- 08- 11","1,913.32","1,912.65","1,921.15","1,910.94","","0.07%"
"2023- 08- 10","1,912.06","1,914.94","1,930.11","1,911.73","","-0.13%"
"2023- 08- 09","1,914.59","1,925.16","1,932.48","1,914.05","","-0.53%"
"2023- 08- 08","1,924.82","1,936.76","1,938.15","1,922.50","","-0.60%"
"2023- 08- 07","1,936.39","1,942.59","1,946.81","1,931.53","","-0.27%"
"2023- 08- 04","1,941.62","1,934.12","1,947.19","1,929.75","","0.41%"
"2023- 08- 03","1,933.74","1,934.66","1,939.03","1,929.55","","0.01%"
"2023- 08- 02","1,933.56","1,945.74","1,955.40","1,933.00","","-0.54%"
"2023- 08- 01","1,944.08","1,965.10","1,966.24","1,941.20","","-1.02%"
"2023- 07- 31","1,964.19","1,959.49","1,972.44","1,951.00","","0.25%"
"2023- 07- 28","1,959.20","1,944.27","1,963.71","1,944.27","","0.73%"
"2023- 07- 27","1,944.99","1,972.08","1,982.24","1,942.61","","-1.38%"
"2023- 07- 26","1,972.10","1,964.99","1,978.31","1,961.99","","0.38%"
"2023- 07- 25","1,964.58","1,955.20","1,966.03","1,953.21","","0.52%"
"2023- 07- 24","1,954.51","1,962.09","1,967.97","1,953.42","","-0.29%"
"2023- 07- 21","1,960.23","1,969.99","1,973.89","1,956.82","","-0.48%"
"2023- 07- 20","1,969.62","1,976.80","1,987.59","1,965.40","","-0.39%"
"2023- 07- 19","1,977.25","1,978.97","1,981.05","1,969.75","","-0.07%"
"2023- 07- 18","1,978.71","1,954.59","1,984.39","1,954.44","","1.23%"
"2023- 07- 17","1,954.74","1,954.90","1,959.91","1,945.82","","-0.01%"
"2023- 07- 14","1,954.93","1,961.58","1,963.81","1,951.00","","-0.27%"
"2023- 07- 13","1,960.19","1,957.44","1,963.69","1,952.71","","0.16%"
"2023- 07- 12","1,957.09","1,932.59","1,959.82","1,932.18","","1.30%"
"2023- 07- 11","1,931.99","1,925.40","1,938.69","1,924.40","","0.36%"
"2023- 07- 10","1,924.99","1,925.19","1,928.31","1,912.68","","0.04%"
"2023- 07- 07","1,924.28","1,911.07","1,934.92","1,909.56","","0.71%"
"2023- 07- 06","1,910.80","1,916.05","1,927.69","1,902.68","","-0.34%"
"2023- 07- 05","1,917.32","1,925.90","1,935.17","1,914.48","","-0.40%"
"2023- 07- 04","1,925.09","1,921.78","1,930.84","1,919.90","","0.19%"
"2023- 07- 03","1,921.43","1,919.40","1,931.09","1,910.10","","0.10%"
"2023- 06- 30","1,919.57","1,908.53","1,922.90","1,900.56","","0.60%"
"2023- 06- 29","1,908.15","1,908.80","1,913.15","1,893.01","","0.04%"
"2023- 06- 28","1,907.42","1,913.59","1,917.24","1,902.84","","-0.31%"
"2023- 06- 27","1,913.35","1,923.21","1,930.85","1,911.19","","-0.49%"
"2023- 06- 26","1,922.85","1,924.30","1,933.48","1,921.59","","0.08%"
"2023- 06- 23","1,921.36","1,913.80","1,937.10","1,910.24","","0.41%"
"2023- 06- 22","1,913.52","1,932.09","1,935.00","1,912.34","","-0.97%"
"2023- 06- 21","1,932.26","1,935.42","1,939.55","1,919.34","","-0.19%"
"2023- 06- 20","1,935.91","1,950.90","1,956.87","1,929.77","","-0.73%"
"2023- 06- 19","1,950.12","1,957.99","1,958.93","1,947.80","","-0.37%"
"2023- 06- 16","1,957.36","1,957.68","1,968.00","1,953.42","","-0.01%"
"2023- 06- 15","1,957.65","1,943.44","1,960.34","1,925.30","","0.75%"
"2023- 06- 14","1,942.99","1,943.49","1,960.41","1,939.73","","-0.02%"
"2023- 06- 13","1,943.33","1,957.69","1,970.74","1,939.99","","-0.69%"
"2023- 06- 12","1,956.92","1,960.25","1,967.55","1,948.80","","-0.19%"
"2023- 06- 09","1,960.60","1,968.10","1,973.09","1,956.73","","-0.36%"
"2023- 06- 08","1,967.76","1,940.59","1,970.50","1,939.81","","1.45%"
"2023- 06- 07","1,939.63","1,963.59","1,970.26","1,939.80","","-1.18%"
"2023- 06- 06","1,962.85","1,962.11","1,966.85","1,954.00","","0.06%"
"2023- 06- 05","1,961.76","1,947.59","1,964.13","1,938.14","","0.73%"
"2023- 06- 02","1,947.63","1,978.14","1,983.52","1,947.67","","-1.53%"
"2023- 06- 01","1,977.88","1,962.80","1,983.27","1,953.43","","0.79%"
"2023- 05- 31","1,962.30","1,959.30","1,975.34","1,953.67","","0.16%"
"2023- 05- 30","1,959.14","1,944.19","1,963.63","1,932.08","","0.84%"
"2023- 05- 29","1,942.84","1,944.09","1,949.75","1,940.30","","-0.18%"
"2023- 05- 26","1,946.33","1,940.69","1,957.40","1,936.84","","0.31%"
"2023- 05- 25","1,940.34","1,958.13","1,964.95","1,938.86","","-0.85%"
"2023- 05- 24","1,957.01","1,975.19","1,985.30","1,956.51","","-0.90%"
"2023- 05- 23","1,974.73","1,971.99","1,977.80","1,954.29","","0.27%"
"2023- 05- 22","1,969.43","1,977.80","1,982.66","1,968.40","","-0.36%"
"2023- 05- 19","1,976.56","1,957.40","1,984.09","1,954.05","","0.94%"
"2023- 05- 18","1,958.05","1,981.52","1,986.12","1,951.97","","-1.19%"
"2023- 05- 17","1,981.72","1,988.94","1,993.13","1,974.80","","-0.35%"
"2023- 05- 16","1,988.60","2,015.90","2,018.94","1,985.47","","-1.58%"
"2023- 05- 15","2,020.60","2,011.72","2,022.20","2,007.28","","0.47%"
"2023- 05- 12","2,011.15","2,015.19","2,022.56","2,001.05","","-0.22%"
"2023- 05- 11","2,015.55","2,030.56","2,041.44","2,011.19","","-0.69%"
"2023- 05- 10","2,029.51","2,034.19","2,048.22","2,021.57","","-0.23%"
"2023- 05- 09","2,034.17","2,022.24","2,037.70","2,019.50","","0.63%"
"2023- 05- 08","2,021.39","2,015.95","2,029.63","2,014.10","","0.24%"
"2023- 05- 05","2,016.54","2,051.73","2,053.13","1,999.30","","-1.69%"
"2023- 05- 04","2,051.11","2,036.86","2,073.29","2,030.34","","0.59%"
"2023- 05- 03","2,039.02","2,014.80","2,040.69","2,007.96","","1.13%"
"2023- 05- 02","2,016.28","1,982.81","2,019.54","1,978.38","","1.73%"
"2023- 05- 01","1,982.05","1,991.34","2,006.05","1,977.05","","-0.38%"
"2023- 04- 28","1,989.65","1,986.75","1,995.13","1,976.08","","0.09%"
"2023- 04- 27","1,987.87","1,987.58","2,003.45","1,973.80","","-0.08%"
"2023- 04- 26","1,989.48","2,000.63","2,009.51","1,983.43","","-0.42%"
"2023- 04- 25","1,997.87","1,991.45","2,003.90","1,976.14","","0.45%"
"2023- 04- 24","1,988.88","1,981.34","1,990.97","1,974.19","","0.30%"
"2023- 04- 21","1,982.89","2,004.29","2,005.75","1,971.65","","-1.07%"
"2023- 04- 20","2,004.34","1,993.58","2,012.74","1,990.49","","0.56%"
"2023- 04- 19","1,993.26","2,007.49","2,008.33","1,969.28","","-0.58%"
"2023- 04- 18","2,004.93","1,995.19","2,011.98","1,991.33","","0.51%"
"2023- 04- 17","1,994.77","2,001.85","2,015.13","1,981.34","","-0.41%"
"2023- 04- 14","2,003.04","2,040.40","2,047.60","1,992.41","","-1.80%"
"2023- 04- 13","2,039.73","2,014.00","2,048.84","2,012.45","","1.24%"
"2023- 04- 12","2,014.67","2,003.67","2,028.40","2,001.18","","0.58%"
"2023- 04- 11","2,003.14","1,990.36","2,007.58","1,988.72","","0.66%"
"2023- 04- 10","1,989.95","2,008.30","2,011.17","1,981.59","","-0.90%"
"2023- 04- 06","2,008.02","2,020.13","2,021.63","2,000.88","","-0.61%"
"2023- 04- 05","2,020.35","2,020.44","2,032.20","2,009.99","","0.02%"
"2023- 04- 04","2,019.97","1,984.59","2,025.19","1,977.01","","1.81%"
"2023- 04- 03","1,984.11","1,970.84","1,990.64","1,949.82","","0.82%"
"2023- 03- 31","1,967.90","1,978.62","1,987.84","1,966.89","","-0.62%"
"2023- 03- 30","1,980.25","1,962.58","1,984.40","1,955.44","","0.83%"
"2023- 03- 29","1,964.04","1,972.82","1,974.64","1,958.62","","-0.49%"
"2023- 03- 28","1,973.69","1,957.23","1,975.45","1,948.66","","0.88%"
"2023- 03- 27","1,956.56","1,977.66","1,979.89","1,943.68","","-1.04%"
"2023- 03- 24","1,977.22","1,993.99","2,003.19","1,975.18","","-0.82%"
"2023- 03- 23","1,993.50","1,967.91","2,003.43","1,964.39","","1.21%"
"2023- 03- 22","1,969.58","1,940.44","1,978.93","1,934.33","","1.52%"
"2023- 03- 21","1,940.15","1,979.17","1,985.30","1,935.41","","-1.95%"
"2023- 03- 20","1,978.71","1,987.59","2,010.19","1,965.77","","-0.46%"
"2023- 03- 17","1,987.93","1,920.00","1,989.80","1,918.33","","3.59%"
"2023- 03- 16","1,919.12","1,920.54","1,934.12","1,907.55","","0.05%"
"2023- 03- 15","1,918.10","1,903.91","1,937.46","1,885.78","","0.84%"
"2023- 03- 14","1,902.12","1,913.19","1,914.52","1,895.17","","-0.58%"
"2023- 03- 13","1,913.23","1,869.01","1,914.79","1,869.01","","2.43%"
"2023- 03- 10","1,867.83","1,830.96","1,870.28","1,827.71","","2.02%"
"2023- 03- 09","1,830.89","1,813.65","1,835.56","1,811.84","","0.95%"
"2023- 03- 08","1,813.59","1,813.61","1,824.38","1,809.40","","0.00%"
"2023- 03- 07","1,813.52","1,846.92","1,852.26","1,812.72","","-1.80%"
"2023- 03- 06","1,846.85","1,855.35","1,858.84","1,845.08","","-0.44%"
"2023- 03- 03","1,854.97","1,836.10","1,856.47","1,834.51","","1.03%"
"2023- 03- 02","1,836.00","1,837.20","1,838.94","1,829.44","","-0.04%"
"2023- 03- 01","1,836.81","1,827.24","1,845.05","1,823.05","","0.53%"
"2023- 02- 28","1,827.15","1,817.38","1,831.27","1,804.65","","0.54%"
"2023- 02- 27","1,817.31","1,812.01","1,820.22","1,806.68","","0.36%"
"2023- 02- 24","1,810.81","1,822.74","1,827.98","1,808.91","","-0.65%"
"2023- 02- 23","1,822.64","1,825.12","1,834.43","1,817.55","","-0.13%"
"2023- 02- 22","1,825.04","1,834.71","1,846.26","1,823.05","","-0.51%"
"2023- 02- 21","1,834.32","1,841.71","1,844.44","1,829.70","","-0.37%"
"2023- 02- 20","1,841.14","1,842.73","1,847.86","1,837.09","","-0.02%"
"2023- 02- 17","1,841.59","1,837.52","1,843.77","1,818.34","","0.23%"
"2023- 02- 16","1,837.44","1,836.56","1,845.45","1,827.18","","0.07%"
"2023- 02- 15","1,836.19","1,854.35","1,860.18","1,830.20","","-0.98%"
"2023- 02- 14","1,854.29","1,853.67","1,871.03","1,843.20","","0.05%"
"2023- 02- 13","1,853.39","1,865.69","1,866.83","1,850.42","","-0.60%"
"2023- 02- 10","1,864.67","1,861.68","1,872.31","1,852.69","","0.18%"
"2023- 02- 09","1,861.39","1,875.64","1,890.69","1,858.89","","-0.76%"
"2023- 02- 08","1,875.59","1,874.05","1,886.28","1,867.40","","0.09%"
"2023- 02- 07","1,873.81","1,867.39","1,884.45","1,864.94","","0.35%"
"2023- 02- 06","1,867.36","1,865.17","1,881.54","1,860.39","","0.10%"
"2023- 02- 03","1,865.53","1,912.57","1,918.72","1,861.41","","-2.45%"
"2023- 02- 02","1,912.37","1,950.54","1,959.77","1,911.33","","-1.95%"
"2023- 02- 01","1,950.42","1,927.92","1,954.63","1,920.56","","1.17%"
"2023- 01- 31","1,927.88","1,922.82","1,931.15","1,900.74","","0.28%"
"2023- 01- 30","1,922.52","1,928.40","1,934.61","1,920.58","","-0.25%"
"2023- 01- 27","1,927.34","1,929.40","1,935.15","1,916.65","","-0.09%"
"2023- 01- 26","1,928.99","1,946.09","1,949.27","1,918.74","","-0.87%"
